Samsung Galaxy S9 Plus Dual SIM Lilac Purple 64GB 6GB RAM 4G LT,77% Off,AED 3563,AED 810.00,noon.com/uae-en/galaxy-s9-plus-dual-sim-lilac-purple-64gb-6gb-ram-4g-lte/N13544550A/p/?o=eff8c04b6f8909ff
OPPO F1s Dual SIM Golden 4GB RAM 32GB 4G LT,73% Off,AED 999,AED 263.00,noon.com/uae-en/f1s-dual-sim-golden-4gb-ram-32gb-4g-lte/N11046227A/p/?o=c821ec939cb1cdfc
